"dataEmissao","tipoDespesa","valorLiq"
"21/02","ASSINATURA DE PUBLICAÇÕES",1194.4
"22/02","ASSINATURA DE PUBLICAÇÕES",4431.2
"23/02","ASSINATURA DE PUBLICAÇÕES",1896.4
"24/02","ASSINATURA DE PUBLICAÇÕES",2602.21
"25/02","ASSINATURA DE PUBLICAÇÕES",4925.68
"26/02","ASSINATURA DE PUBLICAÇÕES",4598.9
"27/02","ASSINATURA DE PUBLICAÇÕES",628.4
"28/02","ASSINATURA DE PUBLICAÇÕES",180
"29/02","ASSINATURA DE PUBLICAÇÕES",2528
"01/03","ASSINATURA DE PUBLICAÇÕES",4336.5
"02/03","ASSINATURA DE PUBLICAÇÕES",4166.8
"03/03","ASSINATURA DE PUBLICAÇÕES",1148.92
"04/03","ASSINATURA DE PUBLICAÇÕES",5309.44
"05/03","ASSINATURA DE PUBLICAÇÕES",512.43
"06/03","ASSINATURA DE PUBLICAÇÕES",49.9
"07/03","ASSINATURA DE PUBLICAÇÕES",7220.89
"08/03","ASSINATURA DE PUBLICAÇÕES",3991.09
"08/03","ASSINATURA DE PUBLICAÇÕES",302.3
"09/03","ASSINATURA DE PUBLICAÇÕES",11267.58
"10/03","ASSINATURA DE PUBLICAÇÕES",6009.44
"11/03","ASSINATURA DE PUBLICAÇÕES",3810.52
"14/03","ASSINATURA DE PUBLICAÇÕES",2928.6
"15/03","ASSINATURA DE PUBLICAÇÕES",8467.96
"16/03","ASSINATURA DE PUBLICAÇÕES",4357.79
"17/03","ASSINATURA DE PUBLICAÇÕES",1235.92
"17/03","ASSINATURA DE PUBLICAÇÕES",642.28
"18/03","ASSINATURA DE PUBLICAÇÕES",2368.28
"20/03","ASSINATURA DE PUBLICAÇÕES",796.12
"21/03","ASSINATURA DE PUBLICAÇÕES",2576.99
"21/03","ASSINATURA DE PUBLICAÇÕES",238.8
"22/03","ASSINATURA DE PUBLICAÇÕES",5448.74
"23/03","ASSINATURA DE PUBLICAÇÕES",7093.35
"24/03","ASSINATURA DE PUBLICAÇÕES",6206.87
"25/03","ASSINATURA DE PUBLICAÇÕES",1029.5
"27/03","ASSINATURA DE PUBLICAÇÕES",117.9
"28/03","ASSINATURA DE PUBLICAÇÕES",2076.66
"29/03","ASSINATURA DE PUBLICAÇÕES",5801.24
"30/03","ASSINATURA DE PUBLICAÇÕES",3876.14
"31/03","ASSINATURA DE PUBLICAÇÕES",310.25
"01/04","ASSINATURA DE PUBLICAÇÕES",127.3
"04/04","ASSINATURA DE PUBLICAÇÕES",4816.4
"05/04","ASSINATURA DE PUBLICAÇÕES",6775.01
"06/04","ASSINATURA DE PUBLICAÇÕES",5446.21
"07/04","ASSINATURA DE PUBLICAÇÕES",6611.5
"08/04","ASSINATURA DE PUBLICAÇÕES",2729.12
"09/04","ASSINATURA DE PUBLICAÇÕES",1169.8
"10/04","ASSINATURA DE PUBLICAÇÕES",621.03
"11/04","ASSINATURA DE PUBLICAÇÕES",4886.46
"12/04","ASSINATURA DE PUBLICAÇÕES",4810.5
"13/04","ASSINATURA DE PUBLICAÇÕES",631.4
"14/04","ASSINATURA DE PUBLICAÇÕES",1950.16
"15/04","ASSINATURA DE PUBLICAÇÕES",3373.61
"16/04","ASSINATURA DE PUBLICAÇÕES",94.8
"17/04","ASSINATURA DE PUBLICAÇÕES",98.9
"18/04","ASSINATURA DE PUBLICAÇÕES",2122.2
"19/04","ASSINATURA DE PUBLICAÇÕES",6199.63
"20/04","ASSINATURA DE PUBLICAÇÕES",3560.18
"21/04","ASSINATURA DE PUBLICAÇÕES",1557.6
"22/04","ASSINATURA DE PUBLICAÇÕES",1625.78
"23/04","ASSINATURA DE PUBLICAÇÕES",85.4
"25/04","ASSINATURA DE PUBLICAÇÕES",1410.69
"26/04","ASSINATURA DE PUBLICAÇÕES",5152.88
"27/04","ASSINATURA DE PUBLICAÇÕES",2119.4
"28/04","ASSINATURA DE PUBLICAÇÕES",1518.19
"29/04","ASSINATURA DE PUBLICAÇÕES",949.39
"03/05","ASSINATURA DE PUBLICAÇÕES",1412.76
"04/05","ASSINATURA DE PUBLICAÇÕES",3132.48
"05/05","ASSINATURA DE PUBLICAÇÕES",957.9
"06/05","ASSINATURA DE PUBLICAÇÕES",1938.01
"09/05","ASSINATURA DE PUBLICAÇÕES",1535.9
"10/05","ASSINATURA DE PUBLICAÇÕES",1953.81
"11/05","ASSINATURA DE PUBLICAÇÕES",2023.71
"12/05","ASSINATURA DE PUBLICAÇÕES",2946.35
"13/05","ASSINATURA DE PUBLICAÇÕES",2080.2
"15/05","ASSINATURA DE PUBLICAÇÕES",572.9
"16/05","ASSINATURA DE PUBLICAÇÕES",830.71
"17/05","ASSINATURA DE PUBLICAÇÕES",560.7
"18/05","ASSINATURA DE PUBLICAÇÕES",617.74
"19/05","ASSINATURA DE PUBLICAÇÕES",613.05
"20/05","ASSINATURA DE PUBLICAÇÕES",1509.57
"21/05","ASSINATURA DE PUBLICAÇÕES",476.5
"23/05","ASSINATURA DE PUBLICAÇÕES",669.4
"24/05","ASSINATURA DE PUBLICAÇÕES",2110.8
"25/05","ASSINATURA DE PUBLICAÇÕES",3894.97
"29/05","ASSINATURA DE PUBLICAÇÕES",92.84
"30/05","ASSINATURA DE PUBLICAÇÕES",390
"31/05","ASSINATURA DE PUBLICAÇÕES",2492.92
"01/06","ASSINATURA DE PUBLICAÇÕES",713.13
"02/06","ASSINATURA DE PUBLICAÇÕES",720.64
"03/06","ASSINATURA DE PUBLICAÇÕES",2505.46
"05/06","ASSINATURA DE PUBLICAÇÕES",98.9
"06/06","ASSINATURA DE PUBLICAÇÕES",638.25
"07/06","ASSINATURA DE PUBLICAÇÕES",1016.73
"08/06","ASSINATURA DE PUBLICAÇÕES",3537.73
"09/06","ASSINATURA DE PUBLICAÇÕES",945.1
"10/06","ASSINATURA DE PUBLICAÇÕES",1919.58
"13/06","ASSINATURA DE PUBLICAÇÕES",736.75
"14/06","ASSINATURA DE PUBLICAÇÕES",804.34
"15/06","ASSINATURA DE PUBLICAÇÕES",881.71
"16/06","ASSINATURA DE PUBLICAÇÕES",2641.12
"17/06","ASSINATURA DE PUBLICAÇÕES",106.8
"18/06","ASSINATURA DE PUBLICAÇÕES",181.57
"19/06","ASSINATURA DE PUBLICAÇÕES",117.9
"20/06","ASSINATURA DE PUBLICAÇÕES",842.7
"21/06","ASSINATURA DE PUBLICAÇÕES",1259.4
"22/06","ASSINATURA DE PUBLICAÇÕES",3036.3
"23/06","ASSINATURA DE PUBLICAÇÕES",115.3
"24/06","ASSINATURA DE PUBLICAÇÕES",172.79
"25/06","ASSINATURA DE PUBLICAÇÕES",77.35
"27/06","ASSINATURA DE PUBLICAÇÕES",592
"28/06","ASSINATURA DE PUBLICAÇÕES",275
"29/06","ASSINATURA DE PUBLICAÇÕES",76
"30/06","ASSINATURA DE PUBLICAÇÕES",610.2
"01/07","ASSINATURA DE PUBLICAÇÕES",1896.16
"04/07","ASSINATURA DE PUBLICAÇÕES",974.02
"05/07","ASSINATURA DE PUBLICAÇÕES",633.4
"06/07","ASSINATURA DE PUBLICAÇÕES",429.6
"07/07","ASSINATURA DE PUBLICAÇÕES",784.44
"08/07","ASSINATURA DE PUBLICAÇÕES",719.9
"09/07","ASSINATURA DE PUBLICAÇÕES",427.9
"10/07","ASSINATURA DE PUBLICAÇÕES",842.6
"11/07","ASSINATURA DE PUBLICAÇÕES",745.98
"12/07","ASSINATURA DE PUBLICAÇÕES",1403.16
"14/07","ASSINATURA DE PUBLICAÇÕES",1804.78
"15/07","ASSINATURA DE PUBLICAÇÕES",265.03
"18/07","ASSINATURA DE PUBLICAÇÕES",612.77
"19/07","ASSINATURA DE PUBLICAÇÕES",1407.8
"20/07","ASSINATURA DE PUBLICAÇÕES",1925.4
"21/07","ASSINATURA DE PUBLICAÇÕES",1378.74
"23/07","ASSINATURA DE PUBLICAÇÕES",141.8
"24/07","ASSINATURA DE PUBLICAÇÕES",29.9
"25/07","ASSINATURA DE PUBLICAÇÕES",908.52
"26/07","ASSINATURA DE PUBLICAÇÕES",608.99
"27/07","ASSINATURA DE PUBLICAÇÕES",415
"28/07","ASSINATURA DE PUBLICAÇÕES",166.73
"29/07","ASSINATURA DE PUBLICAÇÕES",330.24
"31/07","ASSINATURA DE PUBLICAÇÕES",240
"01/08","ASSINATURA DE PUBLICAÇÕES",58.5
"02/08","ASSINATURA DE PUBLICAÇÕES",4302.66
"03/08","ASSINATURA DE PUBLICAÇÕES",187.93
"04/08","ASSINATURA DE PUBLICAÇÕES",615.14
"05/08","ASSINATURA DE PUBLICAÇÕES",1470.11
"06/08","ASSINATURA DE PUBLICAÇÕES",105.9
"08/08","ASSINATURA DE PUBLICAÇÕES",469.05
"09/08","ASSINATURA DE PUBLICAÇÕES",1178.79
"10/08","ASSINATURA DE PUBLICAÇÕES",2474.53
"12/08","ASSINATURA DE PUBLICAÇÕES",414.34
"13/08","ASSINATURA DE PUBLICAÇÕES",117.5
"15/08","ASSINATURA DE PUBLICAÇÕES",20.9
"16/08","ASSINATURA DE PUBLICAÇÕES",224.9
"17/08","ASSINATURA DE PUBLICAÇÕES",437.8
"18/08","ASSINATURA DE PUBLICAÇÕES",429
"21/08","ASSINATURA DE PUBLICAÇÕES",638.5
"22/08","ASSINATURA DE PUBLICAÇÕES",678.29
"23/08","ASSINATURA DE PUBLICAÇÕES",240.18
"24/08","ASSINATURA DE PUBLICAÇÕES",29.9
"25/08","ASSINATURA DE PUBLICAÇÕES",1939.84
"26/08","ASSINATURA DE PUBLICAÇÕES",152
"28/08","ASSINATURA DE PUBLICAÇÕES",166.73
"29/08","ASSINATURA DE PUBLICAÇÕES",328
"30/08","ASSINATURA DE PUBLICAÇÕES",774.7
"31/08","ASSINATURA DE PUBLICAÇÕES",1080.91
"01/09","ASSINATURA DE PUBLICAÇÕES",938.05
"02/09","ASSINATURA DE PUBLICAÇÕES",2352.82
"05/09","ASSINATURA DE PUBLICAÇÕES",225
"06/09","ASSINATURA DE PUBLICAÇÕES",776.26
"07/09","ASSINATURA DE PUBLICAÇÕES",588.8
"08/09","ASSINATURA DE PUBLICAÇÕES",51.3
"09/09","ASSINATURA DE PUBLICAÇÕES",188.44
"10/09","ASSINATURA DE PUBLICAÇÕES",1068.28
"13/09","ASSINATURA DE PUBLICAÇÕES",2132.42
"14/09","ASSINATURA DE PUBLICAÇÕES",1749.43
"15/09","ASSINATURA DE PUBLICAÇÕES",1104.23
"16/09","ASSINATURA DE PUBLICAÇÕES",2072.96
"17/09","ASSINATURA DE PUBLICAÇÕES",274.39
"18/09","ASSINATURA DE PUBLICAÇÕES",329.51
"20/09","ASSINATURA DE PUBLICAÇÕES",470
"21/09","ASSINATURA DE PUBLICAÇÕES",211.53
"22/09","ASSINATURA DE PUBLICAÇÕES",947.5
"23/09","ASSINATURA DE PUBLICAÇÕES",2137.98
"24/09","ASSINATURA DE PUBLICAÇÕES",977.9
